Date,Secchi_D_m,Kd,Euphotic_D_m
01/06/2004,1.98,1.262626263,3.647294787
06/07/2004,2.05,1.219512195,3.776239553
05/08/2004,2.18,1.146788991,4.015708402
18/11/2004,1.8,1.388888889,3.315722534
31/01/2005,1.27,1.968503937,2.339426454
10/03/2005,2.1,1.19047619,3.868342956
11/04/2005,1.7,1.470588235,3.131515726
18/05/2005,1.98,1.262626263,3.647294787
23/06/2005,1.6,1.5625,2.947308919
21/07/2005,1.85,1.351351351,3.407825938
15/09/2005,1.8,1.388888889,3.315722534
19/10/2005,1,2.5,1.842068074
27/02/2006,2.3,1.086956522,4.236756571
28/03/2006,1.6,1.5625,2.947308919
27/04/2006,1.5,1.666666667,2.763102112
24/05/2006,1.8,1.388888889,3.315722534
29/06/2006,1.8,1.388888889,3.315722534
28/07/2006,1.9,1.315789474,3.499929341
14/09/2006,1.5,1.666666667,2.763102112
11/10/2006,1.5,1.666666667,2.763102112
07/11/2006,1.5,1.666666667,2.763102112
06/12/2006,1.2,2.083333333,2.210481689
16/01/2007,1.9,1.315789474,3.499929341
13/02/2007,1.8,1.388888889,3.315722534
23/03/2007,1.5,1.666666667,2.763102112
17/04/2007,2.1,1.19047619,3.868342956
15/05/2007,2.7,0.925925926,4.973583801
14/06/2007,1.9,1.315789474,3.499929341
17/07/2007,1.6,1.5625,2.947308919
08/08/2007,1.6,1.5625,2.947308919
26/09/2007,1.3,1.923076923,2.394688497
24/10/2007,1.8,1.388888889,3.315722534
21/11/2007,1.3,1.923076923,2.394688497
08/02/2008,1.5,1.666666667,2.763102112
18/03/2008,2.5,1,4.605170186
16/04/2008,1.5,1.666666667,2.763102112
21/04/2008,2.8,0.892857143,5.157790608
13/05/2008,2.2,1.136363636,4.052549764
10/06/2008,2.2,1.136363636,4.052549764
02/07/2008,1.8,1.388888889,3.315722534
08/07/2008,2.1,1.19047619,3.868342956
06/08/2008,2.6,0.961538462,4.789376993
15/08/2008,1.8,1.388888889,3.315722534
18/09/2008,1.5,1.666666667,2.763102112
15/10/2008,1.5,1.666666667,2.763102112
24/10/2008,1.5,1.666666667,2.763102112
03/12/2008,1.4,1.785714286,2.578895304
15/01/2009,1.6,1.5625,2.947308919
19/02/2009,2.1,1.19047619,3.868342956
10/03/2009,1.9,1.315789474,3.499929341
01/04/2009,2,1.25,3.684136149
16/04/2009,1.9,1.315789474,3.499929341
12/05/2009,2.1,1.19047619,3.868342956
11/06/2009,1.9,1.315789474,3.499929341
22/06/2009,2,1.25,3.684136149
24/06/2009,2,1.25,3.684136149
06/07/2009,1.8,1.388888889,3.315722534
22/07/2009,1.8,1.388888889,3.315722534
04/08/2009,1.7,1.470588235,3.131515726
17/08/2009,1.9,1.315789474,3.499929341
27/08/2009,1.8,1.388888889,3.315722534
07/09/2009,1.6,1.5625,2.947308919
01/10/2009,1.8,1.388888889,3.315722534
08/10/2009,1.6,1.5625,2.947308919
22/10/2009,1.6,1.5625,2.947308919
06/11/2009,1.2,2.083333333,2.210481689
19/11/2009,1.6,1.5625,2.947308919
22/12/2009,1.8,1.388888889,3.315722534
06/01/2010,1.8,1.388888889,3.315722534
20/01/2010,1.8,1.388888889,3.315722534
02/02/2010,1.8,1.388888889,3.315722534
11/02/2010,1.3,1.923076923,2.394688497
05/03/2010,1.9,1.315789474,3.499929341
15/03/2010,1.7,1.470588235,3.131515726
22/03/2010,1.8,1.388888889,3.315722534
07/04/2010,1.8,1.388888889,3.315722534
04/05/2010,1.9,1.315789474,3.499929341
01/06/2010,1.8,1.388888889,3.315722534
09/06/2010,2,1.25,3.684136149
05/07/2010,1.6,1.5625,2.947308919
12/07/2010,2.1,1.19047619,3.868342956
22/07/2010,1.7,1.470588235,3.131515726
05/08/2010,1.9,1.315789474,3.499929341
09/08/2010,1.2,2.083333333,2.210481689
06/09/2010,1.8,1.388888889,3.315722534
22/09/2010,1.3,1.923076923,2.394688497
08/10/2010,1.6,1.5625,2.947308919
26/10/2010,1.4,1.785714286,2.578895304
08/11/2010,1.6,1.5625,2.947308919
15/11/2010,1.4,1.785714286,2.578895304
08/12/2010,1.8,1.388888889,3.315722534
10/01/2011,1.8,1.388888889,3.315722534
17/01/2011,1.7,1.470588235,3.131515726
24/01/2011,1.6,1.5625,2.947308919
08/02/2011,1.6,1.5625,2.947308919
15/02/2011,1.5,1.666666667,2.763102112
22/02/2011,1.7,1.470588235,3.131515726
21/03/2011,1.7,1.470588235,3.131515726
28/04/2011,1,2.5,1.842068074
17/05/2011,1.8,1.388888889,3.315722534
07/06/2011,1.75,1.428571429,3.22361913
11/07/2011,2.2,1.136363636,4.052549764
21/07/2011,2,1.25,3.684136149
12/08/2011,1.9,1.315789474,3.499929341
22/08/2011,1.7,1.470588235,3.131515726
31/08/2011,1.9,1.315789474,3.499929341
27/09/2011,1.6,1.5625,2.947308919
10/10/2011,1.5,1.666666667,2.763102112
07/11/2011,1.4,1.785714286,2.578895304
22/12/2011,1.4,1.785714286,2.578895304
18/01/2012,1.8,1.388888889,3.315722534
27/01/2012,1.6,1.5625,2.947308919
08/02/2012,1.8,1.388888889,3.315722534
28/02/2012,1.8,1.388888889,3.315722534
22/03/2012,1.7,1.470588235,3.131515726
04/04/2012,2,1.25,3.684136149
10/04/2012,2.1,1.19047619,3.868342956
23/04/2012,1.8,1.388888889,3.315722534
24/05/2012,1.9,1.315789474,3.499929341
12/06/2012,1.9,1.315789474,3.499929341
19/06/2012,2.3,1.086956522,4.236756571
09/07/2012,1.7,1.470588235,3.131515726
16/07/2012,1.7,1.470588235,3.131515726
24/07/2012,1.7,1.470588235,3.131515726
07/08/2012,1.5,1.666666667,2.763102112
23/08/2012,1.4,1.785714286,2.578895304
18/09/2012,1.2,2.083333333,2.210481689
24/10/2012,1.8,1.388888889,3.315722534
01/11/2012,1.8,1.388888889,3.315722534
12/11/2012,1.5,1.666666667,2.763102112
15/11/2012,1.5,1.666666667,2.763102112
12/12/2012,1.5,1.666666667,2.763102112
16/01/2013,1.6,1.5625,2.947308919
19/02/2013,1.2,2.083333333,2.210481689
20/03/2013,1.7,1.470588235,3.131515726
11/04/2013,1.9,1.315789474,3.499929341
15/04/2013,2,1.25,3.684136149
25/04/2013,2,1.25,3.684136149
29/04/2013,1.9,1.315789474,3.499929341
07/05/2013,1.8,1.388888889,3.315722534
13/05/2013,1.7,1.470588235,3.131515726
16/05/2013,1.9,1.315789474,3.499929341
22/05/2013,1.7,1.470588235,3.131515726
24/06/2013,2.1,1.19047619,3.868342956
23/07/2013,2,1.25,3.684136149
15/08/2013,1.7,1.470588235,3.131515726
13/09/2013,1.7,1.470588235,3.131515726
14/10/2013,1.5,1.666666667,2.763102112
21/11/2013,1.5,1.666666667,2.763102112
17/12/2013,1.9,1.315789474,3.499929341
14/01/2014,1.9,1.315789474,3.499929341
14/02/2014,1.8,1.388888889,3.315722534
26/03/2014,1.9,1.315789474,3.499929341
21/05/2014,2.3,1.086956522,4.236756571
19/06/2014,1.9,1.315789474,3.499929341
30/07/2014,1.9,1.315789474,3.499929341
26/08/2014,1.8,1.388888889,3.315722534
17/09/2014,1.9,1.315789474,3.499929341
13/10/2014,1.8,1.388888889,3.315722534
25/11/2014,2.2,1.136363636,4.052549764
15/12/2014,1.7,1.470588235,3.131515726
16/01/2015,1.2,2.083333333,2.210481689
18/02/2015,1.8,1.388888889,3.315722534
16/03/2015,2,1.25,3.684136149
15/04/2015,1.9,1.315789474,3.499929341
20/05/2015,2.2,1.136363636,4.052549764
25/06/2015,1.9,1.315789474,3.499929341
28/07/2015,1.8,1.388888889,3.315722534
25/08/2015,1.6,1.5625,2.947308919
21/09/2015,1.2,2.083333333,2.210481689
02/11/2015,1.7,1.470588235,3.131515726
30/11/2015,1.5,1.666666667,2.763102112
11/01/2016,1.5,1.666666667,2.763102112
18/02/2016,1.5,1.666666667,2.763102112
16/05/2016,1.7,1.470588235,3.131515726
11/06/2016,1.8,1.388888889,3.315722534
10/08/2016,1.8,1.388888889,3.315722534
13/09/2016,1.8,1.388888889,3.315722534
19/10/2016,1.4,1.785714286,2.578895304
15/11/2016,1.5,1.666666667,2.763102112
13/12/2016,1.6,1.5625,2.947308919
16/01/2017,1.5,1.666666667,2.763102112
27/02/2017,1.8,1.388888889,3.315722534
28/03/2017,1.6,1.5625,2.947308919
04/05/2017,1.6,1.5625,2.947308919
08/06/2017,1.7,1.470588235,3.131515726
17/07/2017,1.8,1.388888889,3.315722534
14/08/2017,1.6,1.5625,2.947308919
20/09/2017,1.2,2.083333333,2.210481689
25/10/2017,1.2,2.083333333,2.210481689
08/11/2017,1.2,2.083333333,2.210481689
16/11/2017,1.1,2.272727273,2.026274882
18/12/2017,1.2,2.083333333,2.210481689
23/01/2018,1.7,1.470588235,3.131515726
28/01/2018,1.4,1.785714286,2.578895304
26/02/2018,1.6,1.5625,2.947308919
07/03/2018,1.7,1.470588235,3.131515726
15/03/2018,1.7,1.470588235,3.131515726
17/04/2018,1.8,1.388888889,3.315722534
01/05/2018,1.8,1.388888889,3.315722534
28/05/2018,1.8,1.388888889,3.315722534
12/06/2018,2.3,1.086956522,4.236756571
26/06/2018,1.9,1.315789474,3.499929341
10/07/2018,1.9,1.315789474,3.499929341
24/07/2018,2.3,1.086956522,4.236756571
07/08/2018,1.9,1.315789474,3.499929341
21/08/2018,1.8,1.388888889,3.315722534
03/09/2018,2.1,1.19047619,3.868342956
14/09/2018,1.3,1.923076923,2.394688497
01/10/2018,1.4,1.785714286,2.578895304
17/10/2018,1.4,1.785714286,2.578895304
30/10/2018,1.4,1.785714286,2.578895304
08/11/2018,1.3,1.923076923,2.394688497
13/11/2018,1.3,1.923076923,2.394688497
26/11/2018,1.6,1.5625,2.947308919
14/12/2018,1.4,1.785714286,2.578895304
18/12/2018,1.2,2.083333333,2.210481689
14/01/2019,1.4,1.785714286,2.578895304
28/01/2019,1.4,1.785714286,2.578895304
18/02/2019,1.4,1.785714286,2.578895304
25/03/2019,1.6,1.5625,2.947308919
16/04/2019,1.8,1.388888889,3.315722534
14/05/2019,2.2,1.136363636,4.052549764
19/06/2019,1.7,1.470588235,3.131515726
17/07/2019,2.1,1.19047619,3.868342956
20/08/2019,1.6,1.5625,2.947308919
19/09/2019,1.4,1.785714286,2.578895304
15/10/2019,1.4,1.785714286,2.578895304
19/11/2019,1.3,1.923076923,2.394688497
16/12/2019,1.3,1.923076923,2.394688497
21/01/2020,1.5,1.666666667,2.763102112
25/02/2020,1.8,1.388888889,3.315722534
25/03/2020,1.8,1.388888889,3.315722534
20/05/2020,2.3,1.086956522,4.236756571
24/06/2020,2.4,1.041666667,4.420963379
17/07/2020,2,1.25,3.684136149
12/08/2020,1.5,1.666666667,2.763102112
14/09/2020,1.4,1.785714286,2.578895304
16/10/2020,1.4,1.785714286,2.578895304
16/11/2020,1.3,1.923076923,2.394688497
15/12/2020,1.1,2.272727273,2.026274882
